Student_id,Assessment 1,Assessment 2,Assessment 3,Assessment 4
52F164D79403B0DACF4469243D71BCA3,60.0,80.0,100.0,100.0
F0CBC1581BCEE21B37046BCE38B29843,No Assessment,No Assessment,No Assessment,No Assessment
0C2AD9D295B9178A1C74A22F81F8D4DD,No Assessment,No Assessment,No Assessment,No Assessment
C70DD6FB8A5434BBB0446431C89DCF1F,No Assessment,No Assessment,No Assessment,No Assessment
4A0262A6374BEF6AD4D4B352702A9B56,No Assessment,No Assessment,No Assessment,No Assessment
BE907CD10CE28819FFF45AD6D04B99B6,60.0,90.0,100.0,100.0
6F42C2D3C34DEECA06E489D417ABC43A,100.0,90.0,80.0,100.0
8658C79536A861ABB28455E60679E482,No Assessment,No Assessment,No Assessment,No Assessment
7E618C703ABFF3C8E3648D8F0EE2EC6C,No Assessment,No Assessment,No Assessment,No Assessment
DBDDE487734A56882154F66C767DF41C,40.0,No Assessment,30.0,No Assessment
BCAFF7287D6EE4F863C45EC1CE853C56,No Assessment,No Assessment,No Assessment,No Assessment
BAEE57FF0E9A92C9AFC4D8F104838D31,No Assessment,No Assessment,No Assessment,No Assessment
B82BD5D274BEBAE85194E5FD45FF09E1,No Assessment,No Assessment,No Assessment,No Assessment
3EA09B717DD09C6BC8B4C620E6B735A7,No Assessment,No Assessment,No Assessment,No Assessment
80C48E2A9A057C1876F46B0F2688EC15,40.0,No Assessment,70.0,No Assessment
6B45C4D38FC2D70A48C4FBC57E421508,80.0,80.0,90.0,92.0
A79C2DDEE3411C295C44AEE5DB19CD46,No Assessment,No Assessment,No Assessment,No Assessment
DE7CCEAF4216E588EA8452F6D019AB44,No Assessment,No Assessment,No Assessment,No Assessment
236033039377B75AEF848CEB07AADB28,100.0,90.0,80.0,100.0
0221F095B3B0E0AB7BD43DE2B4673D93,No Assessment,No Assessment,No Assessment,No Assessment
8E653C0AB42AD6C803041088B8D6423D,100.0,90.0,100.0,96.0
0398DBA3263ADAB8E34474BAE378D55F,No Assessment,No Assessment,No Assessment,No Assessment
E468F8820E6495E939449A1497A059F5,No Assessment,No Assessment,No Assessment,No Assessment
3509D3A73DEDF3FA84C4A8C61990D244,60.0,90.0,90.0,88.0
7C38355AFB3AFB19A7F4590DABB423D4,No Assessment,No Assessment,No Assessment,No Assessment
FD013DAB153F882B19146B06CDAF7441,No Assessment,No Assessment,No Assessment,No Assessment
19ECA76CC2807C389B745DA93EBB2D8E,60.0,80.0,100.0,100.0
5DF94232A4BF3D88BA44CF640917ED5F,No Assessment,No Assessment,No Assessment,No Assessment
B35488817A70EF7BEEB489E6C0ACCD06,60.0,90.0,90.0,96.0
BE34F8F5148B1D298FE4F6604BF95CEC,100.0,100.0,90.0,100.0
87571A75E374F5AAC3A4FD033D81472C,No Assessment,No Assessment,No Assessment,No Assessment
4FB5FBB1F6FF82E8F014BD5D49D420AE,No Assessment,No Assessment,No Assessment,No Assessment
49A22F7015A53E684DE42DF8398210A9,No Assessment,No Assessment,No Assessment,No Assessment
BC7D96540D6C1B0BF2546B7DAEA06C50,No Assessment,No Assessment,No Assessment,No Assessment
26CCD15F1AC08449E7146B0FDAE8D3AB,No Assessment,No Assessment,No Assessment,No Assessment
2BDE2B25312F99E8EE348EB80E7F2FFF,100.0,100.0,100.0,100.0
199060869B5FA5E83CC4235956A4833A,100.0,100.0,100.0,96.0
6BCC4BB5EB143C88153428343B65C6D3,No Assessment,No Assessment,No Assessment,No Assessment
B36B3A38AF57AA18445497F988222ACC,No Assessment,No Assessment,No Assessment,No Assessment
878337C809390F2845448B81C6053D4B,100.0,100.0,100.0,100.0
72F151FD9F06A9BB2764AE85CDA083EE,20.0,100.0,100.0,100.0
4DC3BA2E082C7BCAA0B44DC1F728723B,No Assessment,No Assessment,No Assessment,No Assessment
3B20F41417769F689AB49476247E1214,No Assessment,No Assessment,No Assessment,No Assessment
5F2C49DF5B2A8379D9541FF07356CE55,No Assessment,No Assessment,No Assessment,No Assessment
2A10991B994F59C9CAD4299A0F942152,No Assessment,No Assessment,No Assessment,No Assessment
D811169CEA2944A876F47918B27B2C9F,100.0,90.0,90.0,88.0
A38DA1EE6552B9A9DF34ED626C8E23BB,100.0,90.0,90.0,96.0
04D49F0A66A02CF9A6A4DBE3300FBDB5,40.0,100.0,80.0,96.0
C8B8E6F2145EA9CB32344131D1A224A5,80.0,90.0,100.0,96.0
E3C1AE5939B5E01A2E546EBCBE6CB078,No Assessment,No Assessment,No Assessment,No Assessment
6F61564C8B57BE5A2BB419346890ECF2,No Assessment,No Assessment,No Assessment,No Assessment
769A016B7AAC8D3B27A481E857BAA732,No Assessment,No Assessment,No Assessment,No Assessment
53F1F5EAE1E6F86B8D34C0D8C3A3688C,No Assessment,100.0,40.0,96.0
74A869F5F9B1DB2A2404C560CC1D5DB6,100.0,100.0,100.0,100.0
1BA7C2225DA06AC80BC4E14F9BF9FBE8,100.0,90.0,100.0,100.0
FBFAF858EF2A15694EC439B732D68330,60.0,100.0,100.0,96.0
273F0C1A612931DB9AB4800003369A58,No Assessment,No Assessment,No Assessment,No Assessment
1796B02A0DFE7028C694C2926D34F323,No Assessment,No Assessment,No Assessment,No Assessment
4143F2108844C83B51342919C58D7197,40.0,90.0,100.0,100.0
B9B8F1C6B397F20ADFC4DEB3EA155FE5,100.0,90.0,100.0,92.0
A2561DBFC1DE0F68ED44D30AFD99FC3B,40.0,100.0,100.0,100.0
7BB32264D08DD75818747F35E62D7CF7,No Assessment,No Assessment,No Assessment,No Assessment
CCF83A9B9F6C730B2D3412A1736AE8C9,No Assessment,No Assessment,No Assessment,No Assessment
EAD10F05CAB05FF865E4C1DF982E89A6,40.0,100.0,100.0,92.0
5C65321EA6D358BBF754E4E22EBBD1C2,40.0,100.0,100.0,100.0
6D87BBA2C2E20DDBA9249E624F3D3FEB,100.0,70.0,100.0,92.0
8A8DEAD3F77854E967E4AD1DB04C768E,100.0,60.0,90.0,92.0
A12FDA40E3EFC1BA1324BA4579373B02,No Assessment,No Assessment,No Assessment,No Assessment
C0BCCC42A919F3F8AC04E5C3FF79689D,100.0,90.0,90.0,100.0
93D9817A89B879AA28E44263C77EF2A6,No Assessment,No Assessment,No Assessment,No Assessment
43DF0DCC4B1F240AFFB4EA756925F20E,100.0,90.0,100.0,100.0
C90EBD395EB051DB4CD4629E209AF1A0,20.0,100.0,100.0,100.0
21479644F0DF5F4A2984FF19E4734049,100.0,100.0,70.0,80.0
351888538637A358FF9412255139A406,100.0,100.0,100.0,100.0
8C3C96525FC0406A28F4C2E4C278A18A,80.0,100.0,80.0,100.0
AE7CEB0F9FB7780AACD40007F810C0A6,No Assessment,No Assessment,No Assessment,No Assessment
78389079026432B8EF749AAFA3AA1C43,No Assessment,No Assessment,No Assessment,No Assessment
24C74C42B413F1B973E4F703B0207B37,No Assessment,No Assessment,No Assessment,No Assessment
5FF5F933AAC290293AE4320D76178EE8,No Assessment,No Assessment,No Assessment,No Assessment
9BB236BBD1D6489A19C444925A2F58A0,80.0,80.0,60.0,96.0
D56D1D69B33E235A24E44CDC59B2D822,100.0,100.0,100.0,96.0
2F4E737F8E556EA8D16485FD7AACA096,No Assessment,No Assessment,No Assessment,No Assessment
F1361CE4A20CBCCAAB84AEE25AED163C,No Assessment,No Assessment,No Assessment,No Assessment
42861E5626ADAB0AC6648BD4357AE063,No Assessment,No Assessment,No Assessment,No Assessment
14697AF0C45DF2C80FA44FE21D5C5E3F,40.0,70.0,100.0,96.0
3EBC10485039D63A58C4CAF96C161C33,No Assessment,No Assessment,No Assessment,No Assessment
